ticker,rv_current,rv_percentile,rv_52w_min,rv_52w_max,rv_20,rv_60,rv_term_structure,atr_pct,atr_pct_percentile,expansion_ratio,expansion_tier,adv_30d,adv_90d,close_price,last_date,cv_30,range_rel_20,volume_spike_180,is_compressed,is_deal_pending,is_straddle_candidate,rank_rv_pct,rank_atr_pct,rank_term_structure,borda_score,borda_rank,name,type,market_cap,next_earnings_date,days_to_earnings
MAC,32.45,36.64,26.31,52.81,29.8,31.47,0.947,2.777,16.67,1.63,INSUFFICIENT,3216280,2483098,22.49,2026-05-26,0.01703,0.02434,4.57,False,False,False,,,,,,Macerich Company,Common Stock,6633025024.0,2026-08-10,75.0
IREN,106.44,37.04,67.24,116.18,115.74,99.73,1.16,9.498,66.27,1.09,INSUFFICIENT,48260438,41380095,59.78,2026-05-26,0.10146,0.08739,3.01,False,False,False,,,,,,IREN Ltd,Common Stock,21389113344.0,,
SMMT,84.61,37.17,57.32,138.98,125.51,96.56,1.3,6.627,63.89,1.64,INSUFFICIENT,4809604,3294000,17.0,2026-05-26,0.15749,0.06502,6.75,False,False,False,,,,,,Summit Therapeutics PLC,Common Stock,12806683648.0,,
BEKE,41.01,37.3,29.97,55.25,59.29,42.81,1.385,5.175,99.6,1.35,INSUFFICIENT,5160090,4688379,16.5,2026-05-26,0.06947,0.03167,2.86,False,False,False,,,,,,Ke Holdings Inc,Common Stock,18301265920.0,,
SNY,22.31,38.1,21.07,32.39,18.23,20.57,0.886,1.577,0.79,1.45,INSUFFICIENT,2718920,3617929,44.15,2026-05-26,0.0211,0.01422,4.77,False,False,False,,,,,,Sanofi ADR,Common Stock,105852928000.0,2026-07-30,64.0
GAP,46.88,38.49,34.85,81.55,48.88,51.08,0.957,3.868,23.81,1.74,INSUFFICIENT,6607673,7468179,23.49,2026-05-26,0.08028,0.03506,2.99,False,False,False,,,,,,"The Gap, Inc.",Common Stock,8581840896.0,2026-05-28,1.0
CNP,17.59,39.02,13.69,19.31,19.61,17.85,1.098,1.886,10.32,1.1,INSUFFICIENT,5142738,5313367,42.93,2026-05-26,0.01297,0.01818,2.88,False,False,False,,,,,,CenterPoint Energy Inc,Common Stock,28083494912.0,2026-07-23,57.0
NOV,34.63,39.02,34.57,57.39,34.16,32.91,1.038,2.869,5.56,1.66,INSUFFICIENT,4782015,4865666,21.12,2026-05-26,0.03433,0.02727,3.05,False,False,False,,,,,,NOV Inc.,Common Stock,7579724800.0,2026-07-28,62.0
CNM,32.72,39.02,27.45,59.24,37.43,33.68,1.111,3.256,61.11,1.81,INSUFFICIENT,2451946,2406547,48.78,2026-05-26,0.03969,0.03067,9.48,False,False,False,,,,,,Core & Main Inc,Common Stock,9338792960.0,2026-06-09,13.0
SHO,24.88,39.15,23.34,40.43,25.14,23.78,1.057,2.246,6.75,1.62,INSUFFICIENT,1745677,1951679,10.86,2026-05-26,0.0398,0.02088,5.27,False,False,False,,,,,,Sunstone Hotel Investors Inc,Common Stock,2023123072.0,2026-08-06,71.0
